Reservoir,Site,Date,Time,Depth_m,Filter,Fe_mgL,Mn_mgL,count_Fe_mgL,count_Mn_mgL
BVR,50,2016-05-29,NA      ,11,S,5.681,1.199,1,1
BVR,50,2016-05-29,NA      ,11,T,5.599,1.161,1,1
BVR,50,2016-05-31,NA      ,0.1,S,0.012,0.002,1,1
BVR,50,2016-05-31,NA      ,0.1,T,0.133,0.016,1,1
BVR,50,2016-05-31,NA      ,3,S,0.007,0.001,1,1
BVR,50,2016-05-31,NA      ,3,T,0.14,0.021,1,1
BVR,50,2016-05-31,NA      ,6,S,0.004,0.002,1,1
BVR,50,2016-05-31,NA      ,6,T,0.12,0.054,1,1
BVR,50,2016-05-31,NA      ,9,S,0.004,0.281,1,1
BVR,50,2016-05-31,NA      ,9,T,0.27,0.302,1,1
BVR,50,2016-05-31,NA      ,11,S,8.353,1.314,1,1
BVR,50,2016-05-31,NA      ,11,T,7.684,1.272,1,1
BVR,50,2016-06-02,NA      ,0.1,S,0.012,0.002,1,1
BVR,50,2016-06-02,NA      ,0.1,T,0.172,0.019,1,1
BVR,50,2016-06-02,NA      ,3,S,0.007,0.002,1,1
BVR,50,2016-06-02,NA      ,3,T,0.116,0.017,1,1
BVR,50,2016-06-02,NA      ,6,S,0.004,0.001,1,1
BVR,50,2016-06-02,NA      ,6,T,0.116,0.061,1,1
BVR,50,2016-06-02,NA      ,9,S,0.149,1.019,1,1
BVR,50,2016-06-02,NA      ,9,T,1.403,1.127,1,1
BVR,50,2016-06-02,NA      ,11,S,5.619,1.397,1,1
BVR,50,2016-06-02,NA      ,11,T,5.66,1.388,1,1
BVR,50,2016-06-08,NA      ,0.1,S,0.046,0.002,1,1
BVR,50,2016-06-08,NA      ,0.1,T,0.223,0.027,1,1
BVR,50,2016-06-08,NA      ,3,S,0.019,0.002,1,1
BVR,50,2016-06-08,NA      ,3,T,0.227,0.026,1,1
BVR,50,2016-06-08,NA      ,6,S,0.005,0.005,1,1
BVR,50,2016-06-08,NA      ,6,T,0.206,0.081,1,1
BVR,50,2016-06-08,NA      ,9,S,0.704,0.856,1,1
BVR,50,2016-06-08,NA      ,9,T,1.654,1.001,1,1
BVR,50,2016-06-08,NA      ,11,S,8.149,1.541,1,1
BVR,50,2016-06-08,NA      ,11,T,8.056,1.551,1,1
BVR,50,2016-06-16,NA      ,0.1,S,0.083,0.007,1,1
BVR,50,2016-06-16,NA      ,0.1,T,0.202,0.017,1,1
BVR,50,2016-06-16,NA      ,3,S,0.046,0.004,1,1
BVR,50,2016-06-16,NA      ,3,T,0.19,0.012,1,1
BVR,50,2016-06-16,NA      ,6,S,0.004,0.014,1,1
BVR,50,2016-06-16,NA      ,6,T,0.132,0.018,1,1
BVR,50,2016-06-16,NA      ,9,S,0.075,1.074,1,1
BVR,50,2016-06-16,NA      ,9,T,1.086,1.283,1,1
BVR,50,2016-06-16,NA      ,11,S,9.741,1.827,1,1
BVR,50,2016-06-16,NA      ,11,T,9.967,1.827,1,1
BVR,50,2016-06-23,NA      ,0.1,S,0.049,0.003,1,1
BVR,50,2016-06-23,NA      ,0.1,T,0.204,0.012,1,1
BVR,50,2016-06-23,NA      ,3,S,0.081,0.003,1,1
BVR,50,2016-06-23,NA      ,3,T,0.218,0.015,1,1
BVR,50,2016-06-23,NA      ,6,S,0.004,0.033,1,1
BVR,50,2016-06-23,NA      ,6,T,0.157,0.052,1,1
BVR,50,2016-06-23,NA      ,9,S,NA,NA,1,1
BVR,50,2016-06-23,NA      ,9,T,NA,NA,1,1
BVR,50,2016-06-23,NA      ,11,S,9.585,1.892,1,1
BVR,50,2016-06-23,NA      ,11,T,11.078,1.93,1,1
BVR,50,2016-06-26,NA      ,0.1,S,0.065,0.003,1,1
BVR,50,2016-06-26,NA      ,0.1,T,0.246,0.014,1,1
BVR,50,2016-06-26,NA      ,3,S,0.066,0.002,1,1
BVR,50,2016-06-26,NA      ,3,T,0.263,0.018,1,1
BVR,50,2016-06-26,NA      ,6,S,0.004,0.056,1,1
BVR,50,2016-06-26,NA      ,6,T,0.182,0.079,1,1
BVR,50,2016-06-26,NA      ,9,S,0.004,0.611,1,1
BVR,50,2016-06-26,NA      ,9,T,0.325,0.688,1,1
BVR,50,2016-06-26,NA      ,11,S,5.844,1.802,1,1
BVR,50,2016-06-26,NA      ,11,T,8.542,1.945,1,1
BVR,50,2016-06-30,NA      ,0.1,S,0.036,0.001,1,1
BVR,50,2016-06-30,NA      ,0.1,T,0.223,0.014,1,1
BVR,50,2016-06-30,NA      ,3,S,0.049,0.001,1,1
BVR,50,2016-06-30,NA      ,3,T,0.277,0.014,1,1
BVR,50,2016-06-30,NA      ,6,S,0.004,0.116,1,1
BVR,50,2016-06-30,NA      ,6,T,0.181,0.139,1,1
BVR,50,2016-06-30,NA      ,9,S,3.018,2.279,1,1
BVR,50,2016-06-30,NA      ,9,T,2.754,2.219,1,1
BVR,50,2016-06-30,NA      ,11,S,11.91,2.105,1,1
BVR,50,2016-06-30,NA      ,11,T,13.147,2.147,1,1
BVR,50,2016-07-07,NA      ,0.1,S,0.083,0.001,1,1
BVR,50,2016-07-07,NA      ,0.1,T,0.334,0.021,1,1
BVR,50,2016-07-07,NA      ,3,S,0.092,0.006,1,1
BVR,50,2016-07-07,NA      ,3,T,0.335,0.024,1,1
BVR,50,2016-07-07,NA      ,6,S,0.012,0.025,1,1
BVR,50,2016-07-07,NA      ,6,T,0.291,0.062,1,1
BVR,50,2016-07-07,NA      ,9,S,1.167,1.608,1,1
BVR,50,2016-07-07,NA      ,9,T,1.011,1.284,1,1
BVR,50,2016-07-07,NA      ,11,S,12.701,2.37,1,1
BVR,50,2016-07-07,NA      ,11,T,14.483,2.457,1,1
BVR,50,2016-07-14,NA      ,0.1,S,0.079,0.001,1,1
BVR,50,2016-07-14,NA      ,0.1,T,0.295,0.019,1,1
BVR,50,2016-07-14,NA      ,3,S,0.065,0.004,1,1
BVR,50,2016-07-14,NA      ,3,T,0.295,0.022,1,1
BVR,50,2016-07-14,NA      ,6,S,0.004,0.011,1,1
BVR,50,2016-07-14,NA      ,6,T,0.308,0.063,1,1
BVR,50,2016-07-14,NA      ,9,S,2.972,1.955,1,1
BVR,50,2016-07-14,NA      ,9,T,2.8,1.814,1,1
BVR,50,2016-07-14,NA      ,11,S,10.129,2.077,1,1
BVR,50,2016-07-14,NA      ,11,T,11.838,2.186,1,1
BVR,50,2016-07-21,NA      ,0.1,S,0.116,0.003,1,1
BVR,50,2016-07-21,NA      ,0.1,T,0.381,0.029,1,1
BVR,50,2016-07-21,NA      ,3,S,0.099,0.007,1,1
BVR,50,2016-07-21,NA      ,3,T,0.458,0.034,1,1
BVR,50,2016-07-21,NA      ,6,S,0.009,0.068,1,1
