ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2023 - 15,0.4,"2,205.40",564.2,100.9,"6,295.10",25.4,-1,-0.1,811.4,"1,625.40",2.3,-0.2,0.4,187.9,18.7,0.1,0.5,0.9,36.1,-0.1,0,10.5,0,0,0.1,0.1,11.8,0.5,0
09/12/2023 - 11,0.1,"1,479.70",613.9,2.9,"4,429.20",15.1,-0.9,-0.2,576.6,"1,700.40",0.5,-0.5,0.3,"1,127.90",536.2,1.2,0.1,0.3,1,-0.1,0,11.4,0,0,0,0,29.3,0,0
09/12/2023 - 15,0.3,"1,903.10",531.1,64.8,"5,901.70",21.2,-1.1,-0.3,656.3,"1,516.00",1.5,-0.3,0.4,113,12.3,0.1,0.3,0.3,5,-0.1,-0.1,10,0,0,0,0,10.8,0.1,0
09/12/2023 - 25,0.1,"1,064.20",442.8,4.1,"3,805.00",18.2,-1.2,-0.3,816.3,"1,265.90",0.7,-0.4,0.3,"11,951.30","1,105.40",2,1.5,1.2,1.5,0.1,0.1,9,0.3,0,0,0.2,33.2,0.5,0.1
09/25/2023 - 23,0.1,"1,121.20",443.9,4.7,"2,788.90",19.9,-1,-0.3,766,"1,125.00",0.5,-0.5,0.3,"2,294.50",553.3,0.7,0.4,0.3,1.7,0,0,8.3,0.1,0,0,0.1,37.6,0,0
10/03/2023 - 5,0.2,"1,608.30",572.7,3.6,"4,033.90",21.8,-1.1,-0.2,610.1,"1,403.50",0.5,-0.5,0.3,244.8,72.8,0.1,0.1,0.5,1.2,0,0,9.5,0,0,0,0.1,14.8,0,0
10/09/2023 - 7,0.2,"1,592.70",613.2,4.2,"4,376.90",25.4,-0.9,-0.2,655.2,"1,620.10",0.6,-0.5,0.3,"1,214.90",503.2,1.1,0.4,0.4,0.5,0,0,11.1,0,0,0,0.1,29.4,0.1,0
10/14/2023 - 21,0.1,"1,183.30",451,9.8,"2,842.20",21.3,-1.1,-0.3,756,"1,068.80",0.5,-0.5,0.3,990.4,67,0.2,0.1,0.1,1,0,0,7.8,0,0,0,0,15.7,0.1,0
10/17/2023 - 5,0.2,"1,621.00",580.1,4.6,"3,881.20",20,-1.1,-0.2,603.9,"1,412.80",0.5,-0.5,0.3,226.7,81.9,0.2,0.4,1.6,2,-0.1,-0.1,9.5,0,0,0,0,14.7,0.2,0
10/31/2023 - 15,0.3,"1,952.20",583.5,31.4,"5,927.90",24.8,-1.1,-0.3,864,"1,495.60",1,-0.4,0.3,77.7,17.5,0.1,0.4,0.6,3,-0.1,-0.1,9.9,0,0,1.9,1.8,11,0.1,0
10/31/2023 - 19,0.1,"1,138.40",433.1,13.9,"3,921.30",16.1,-1.1,-0.3,720.2,"1,015.40",0.6,-0.5,0.3,899,81.8,0.2,0.2,0.2,0.4,0,0,7.4,0,0,0,0,15.3,0.1,0
11/06/2023 - 25,0.1,"1,151.40",442,6.7,"2,831.00",16.9,-1.1,-0.3,732.7,"1,041.30",0.4,-0.5,0.3,981.2,79.8,0.2,0.2,0.1,0.1,0,-0.1,7.6,0,0,0,0,15.9,0.1,0
12/04/2023 - 15,0.3,"1,803.60",449,16.5,"5,586.30",19.3,-1,-0.3,645.8,"1,129.90",0.7,-0.4,0.3,54.6,5.4,0,0.2,0.2,0.3,-0.1,-0.2,7.2,0,0,0,0,8.4,0.2,0
12/04/2023 - 17,0.2,"1,757.80",618.6,40.7,"5,527.50",29.4,-0.8,-0.3,777.8,"1,303.30",1.5,-0.3,0.4,984.2,20.5,0.2,0.4,0.3,0.5,0,0,8.5,0.2,0,0,0.2,11.4,0.2,0.1
Water blank - 224,0.1,9.7,0.4,0.7,244.3,7.1,-1.4,-0.8,1.6,-14.3,0.2,-0.5,0.3,26.8,0.1,0,0.2,0,-0.5,-0.1,-0.1,0,0.1,0,0,0.1,0,0,0
