ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2023 - 23,0.2,"2,301.1",965.1,6.1,"5,394.4",26.6,0.3,0.0,"1,540.8","2,398.8",-0.1,-0.1,0.1,"3,117.9","1,483.1",1.8,0.2,0.4,5.7,-0.3,-2.3,16.4,0.0,0.1,0.0,107.6,0.1,0.0
10/03/2023 - 24,0.2,"2,724.8",956.0,2.8,"5,270.0",2.2,0.3,0.0,"1,504.1","2,367.0",-0.2,-0.1,0.0,"2,313.7","1,551.5",1.8,0.3,0.4,4.6,-0.4,-2.6,16.0,0.0,0.0,0.0,69.1,0.1,0.0
10/03/2023 - 25,0.2,"2,233.1",959.2,5.2,"8,277.7",24.7,-0.3,-0.1,"1,735.7","2,706.6",0.4,0.0,0.1,"36,734.1","2,286.6",3.8,0.4,0.4,7.1,0.1,-2.0,18.7,0.0,0.0,0.2,85.6,0.1,0.1
10/03/2023 - 26,0.2,"2,304.9",970.9,5.3,"8,471.7",5.3,-0.3,0.0,"1,822.0","2,727.2",0.2,0.0,0.1,"37,203.4","2,342.5",3.7,0.6,0.4,18.2,0.0,-2.4,19.2,0.0,0.1,0.1,87.1,0.2,0.0
10/09/2023 - 1,0.4,"3,463.1","1,225.5",5.5,"7,848.3",21.4,-0.1,0.2,"1,275.6","2,806.2",0.2,-0.1,0.1,490.6,92.9,0.2,0.2,0.9,5.0,-0.4,-2.1,18.6,0.0,0.0,0.0,28.1,0.1,0.0
10/09/2023 - 2,0.4,"4,120.3","1,252.1",2.9,"7,942.3",6.2,0.0,0.3,"1,248.0","2,964.2",0.0,-0.1,0.1,140.2,45.0,0.1,0.2,0.6,0.8,-0.4,-2.2,18.6,0.0,0.0,0.0,20.4,0.1,0.0
10/09/2023 - 3,0.4,"3,422.1","1,219.2",4.5,"7,813.5",19.9,0.0,0.1,"1,239.9","2,768.3",0.0,-0.1,0.0,365.1,96.2,0.2,0.1,0.8,3.6,-0.4,-2.4,18.3,0.0,0.0,0.0,28.1,0.1,0.0
10/09/2023 - 4,0.4,"3,972.4","1,243.1",2.0,"7,834.1",4.1,0.1,0.2,"1,198.6","2,930.5",-0.1,-0.1,0.1,117.0,46.1,0.1,0.1,0.5,0.8,-0.5,-2.2,18.6,0.0,0.0,0.0,21.1,0.1,0.0
10/09/2023 - 5,0.4,"3,391.1","1,208.7",6.5,"7,778.0",23.6,0.1,0.1,"1,241.0","2,792.5",0.1,-0.1,0.0,350.8,93.8,0.2,0.1,0.8,1.2,-0.4,-2.4,18.2,0.0,0.0,0.0,27.8,0.1,0.0
10/09/2023 - 6,0.4,"3,909.0","1,248.3",2.0,"7,816.0",3.4,0.2,0.2,"1,233.6","2,889.0",-0.1,-0.1,0.1,100.4,40.8,0.1,0.1,0.6,0.7,-0.5,-2.2,18.5,0.0,0.0,0.0,21.7,0.1,0.0
