ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,[Note:  4 samples had solids in the bottom so I didn't run those],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2020 - 4,0.4,"2,553.5",908.7,17.7,"7,121.2",1.4,0.3,-0.5,"1,147.1","2,019.0",0.7,0.1,0.1,108.8,8.1,0.1,0.1,2.0,1.8,0.1,0.8,12.7,0.0,0.0,0.0,0.0,15.1,0.2,0.0
09/11/2020 - 5,0.4,"2,586.7","1,099.7",20.4,"7,440.9",27.8,0.6,-0.2,"1,326.4","2,866.5",0.8,0.1,0.2,"2,230.9",842.7,1.8,0.1,0.6,0.5,0.1,0.8,18.9,0.0,0.0,0.0,0.0,49.5,0.2,0.0
09/11/2020 - 6,0.4,"2,594.3","1,082.5",13.4,"7,345.9",-0.2,0.5,-0.1,"1,309.2","2,808.5",0.6,0.0,0.1,"1,009.7",767.6,1.6,0.1,0.3,4.9,0.1,0.8,18.3,0.0,0.0,0.0,0.0,46.7,0.2,0.0
09/11/2020 - 7,0.3,"2,668.8","1,154.2",15.6,"7,933.3",22.6,0.5,-0.3,"1,226.9","3,162.3",0.8,0.1,0.1,"3,828.5","1,205.8",2.8,0.3,0.6,1.0,0.2,0.7,20.5,0.0,0.0,0.0,0.0,47.7,0.2,0.0
09/11/2020 - 8,0.4,"2,700.9","1,164.1",24.3,"7,948.8",0.7,0.6,-0.2,"1,236.2","3,184.9",1.2,0.1,0.1,"1,735.0","1,185.6",2.7,0.2,0.6,29.6,0.1,0.8,20.6,0.0,0.0,0.0,-0.1,49.4,0.2,0.0
09/11/2020 - 9,0.3,"2,663.3","1,155.7",14.6,"7,936.1",14.1,0.4,-0.4,"1,222.8","3,183.0",0.8,0.1,0.1,"2,786.6","1,245.2",2.9,0.2,0.4,0.7,0.1,0.8,20.6,0.0,0.0,0.0,-0.1,49.3,0.1,0.0
09/11/2020 - 10,0.3,"2,734.0","1,154.4",13.2,"7,845.5",0.1,0.5,-0.2,"1,303.7","3,171.7",0.7,0.0,0.1,"1,074.3","1,210.5",2.8,0.3,1.5,22.2,0.1,0.8,20.8,0.0,0.0,0.0,-0.1,48.3,0.2,0.0
09/11/2020 - 11,0.3,"2,727.8","1,193.9",19.5,"8,103.4",14.1,0.4,-0.4,"1,203.3","3,272.7",0.8,0.1,0.1,"2,438.4","1,323.6",3.2,0.2,0.4,1.1,0.1,0.9,21.2,0.0,0.0,0.0,-0.1,51.3,0.2,0.0
09/11/2020 - 12,0.3,"2,711.4","1,175.7",13.9,"7,937.5",-0.9,0.4,-0.3,"1,217.6","3,243.5",0.7,0.0,0.3,139.4,"1,295.8",3.1,0.2,0.5,5.5,0.1,0.7,20.8,0.0,0.0,0.0,0.2,48.3,0.2,0.0
09/11/2020 - 13,0.3,"2,709.2","1,163.7",23.9,"7,910.7",15.8,0.3,-0.4,"1,215.1","3,164.0",0.8,0.1,0.1,"2,182.0","1,174.4",2.8,0.2,0.5,0.3,0.1,0.7,20.3,0.0,0.0,0.0,0.1,49.1,0.2,0.0
