ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick 39,0.3,"2,680.7","1,035.3",15.7,"7,812.5",11.0,-0.5,0.3,"1,290.6","2,401.9",0.5,0.1,0.1,571.5,288.4,0.5,0.0,0.4,-5.2,0.1,-0.3,15.7,-0.3,0.0,0.0,-0.3,27.0,0.2,0.0
Nick 40,0.3,"2,680.6","1,022.2",14.7,"7,749.7",-5.7,-0.5,0.3,"1,271.9","2,361.4",0.4,0.1,0.1,70.7,131.3,0.2,0.0,0.2,-4.1,0.1,-0.2,15.5,-0.4,0.0,0.0,-0.4,22.9,0.1,0.0
Nick 41,0.3,"2,665.5","1,091.8",20.5,"7,938.4",13.5,-0.8,0.3,"1,264.8","2,807.9",0.6,0.2,0.1,"2,692.3","1,613.9",3.5,0.1,0.4,-5.2,0.1,-0.4,18.9,-0.3,0.0,0.0,-0.3,61.2,0.2,0.0
Nick 42,0.3,"2,681.0","1,070.0",15.7,"7,872.7",-7.0,-0.8,0.3,"1,264.7","2,631.8",0.5,0.1,0.1,875.2,"1,165.7",2.4,0.0,0.0,-4.8,0.1,-0.3,17.7,-0.3,0.0,0.0,0.0,48.2,0.1,0.0
Nick 43,0.3,"2,743.2","1,155.2",18.6,"8,097.9",15.1,-0.6,0.3,"1,307.2","2,975.7",0.9,0.1,0.1,"2,562.7","1,480.1",3.2,0.1,0.3,-4.8,0.1,-0.4,20.1,-0.3,0.0,0.0,0.0,58.8,0.2,0.0
Nick 44,0.3,"2,672.2","1,126.2",15.0,"7,776.6",-6.6,-0.7,0.3,"1,251.9","2,920.1",-4.2,0.1,0.1,182.4,"1,422.3",3.1,0.1,-0.1,7.1,0.1,-0.4,19.7,-0.3,0.0,0.0,-0.2,56.7,0.2,0.0
Nick 45,0.3,"2,701.8","1,194.3",15.8,"8,027.4",19.1,-0.7,0.3,"1,269.2","3,267.4",0.6,0.1,0.1,"3,924.1","1,565.9",3.8,0.1,0.3,4.6,0.1,-0.2,22.2,-0.3,0.0,0.0,-0.2,65.2,0.2,0.0
Nick 46,0.2,"2,743.1","1,216.7",13.5,"7,868.1",-7.2,-0.7,0.3,"1,280.7","3,300.7",0.4,0.0,0.1,-5.1,"1,577.4",3.7,0.1,-0.1,-4.4,0.1,-0.4,22.4,-0.3,0.0,0.0,-0.3,65.0,0.2,0.0
Nick 47,0.2,"2,646.2","1,174.4",27.7,"8,039.9",44.8,-0.6,0.2,"1,260.9","3,245.4",1.0,0.3,0.1,"6,231.7","1,529.1",3.7,0.2,1.2,8.1,0.2,-0.5,21.9,-0.3,0.0,0.0,-0.3,66.9,0.3,0.0
Nick 48,0.3,"2,725.0","1,203.5",16.0,"7,869.6",-4.9,-0.6,0.3,"1,278.2","3,310.6",0.4,0.0,0.1,334.2,"1,534.7",3.5,0.1,-0.1,-4.2,0.1,-0.4,22.0,-0.3,0.0,0.0,-0.3,63.4,0.2,0.0
Nick 49,0.3,"2,649.3","1,016.7",13.2,"7,701.0",10.3,-0.5,0.2,"1,272.5","2,353.7",0.5,0.1,0.1,385.1,113.3,0.2,0.0,0.4,-3.7,0.1,-0.5,15.4,-0.3,0.0,0.0,-0.4,22.8,0.2,0.0
Nick 50,0.3,"2,648.8","1,012.8",12.3,"7,702.9",-5.0,-0.4,0.2,"1,243.6","2,331.1",0.3,0.1,0.1,66.4,44.3,0.1,0.0,0.2,-3.4,0.1,-0.4,15.1,-0.4,0.0,0.0,-0.4,20.3,0.2,0.0
Nick 51,0.3,"2,685.7","1,036.7",7.0,"7,815.1",4.4,-0.5,0.2,"1,288.6","2,357.2",0.5,0.1,0.1,354.5,107.6,0.2,0.0,0.4,-6.1,0.1,-0.3,15.6,-0.3,0.0,0.0,-0.4,22.8,0.0,0.0
Nick 52,0.3,"2,661.1","1,018.6",14.8,"7,789.7",-5.8,-0.5,0.2,"1,255.8","2,300.9",0.4,0.1,0.1,72.0,43.3,0.1,0.0,0.2,-4.8,0.1,-0.3,15.2,-0.3,0.0,0.0,0.3,20.6,0.2,0.0
Nick 53,0.3,"2,641.0","1,025.2",24.9,"7,614.6",72.4,-0.5,0.2,"1,278.4","2,359.3",1.2,0.2,0.5,"1,021.3",101.5,0.2,0.3,1.0,85.8,0.1,-0.5,15.3,-0.3,0.0,0.0,0.1,22.5,0.9,0.0
Nick 54,0.3,"2,640.9","1,006.1",13.0,"7,703.3",-6.1,-0.6,0.2,"1,243.8","2,297.1",0.4,0.1,0.1,66.1,38.1,0.1,0.0,0.1,-4.2,0.1,-0.5,15.2,-0.4,0.0,0.0,-0.2,20.2,0.1,0.0
Nick 55,0.3,"2,687.8","1,093.4",19.6,"7,986.8",14.3,-0.7,0.2,"1,272.9","2,739.0",0.7,0.2,0.1,"2,134.8","1,398.5",3.0,0.0,0.5,-4.3,0.1,-0.4,18.4,-0.3,0.0,0.0,-0.2,55.4,0.2,0.0
