ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.5,2977.3,985.3,54,9003.5,34.8,0.1,0.9,1028,2138.3,1.4,0.4,0.1,568.9,33.5,0.2,0.2,1,3.8,0.1,0.1,13.9,0,0,0,-0.2,12.3,0.9,0
46,0.4,2930.7,911.9,32.8,8871.8,11,-0.1,0.9,935.9,1923.6,0.9,0.3,0.1,375.7,10.4,0.1,0.1,0.8,3.6,0.1,0.1,12.8,2.1,0,0,-0.2,9.3,1,0
47,0.4,2817,977.4,41.3,8296.8,26.2,0.2,0.9,917.2,2183.8,1.2,0.2,0.1,465.4,39.3,0.1,0.2,1,6.7,0.1,0.1,14.2,0.1,0,0,-0.1,17.1,1.2,0
48,0.4,2786.9,957.8,22.8,8296,12.9,0.1,0.9,872.3,2110.4,0.8,0.2,0.2,225.2,10.1,0.1,0.1,0.8,4.7,0.1,0.2,14,0.7,0,0,-0.2,15.1,1.2,0
49,0.4,2664.9,957.2,22.6,7677.8,20.3,0.3,0.9,925.1,2226.5,0.8,0.1,0.1,739.7,223.9,0.4,0.2,1,4.6,0.1,0.2,14.6,0.1,0,0,0.2,27.2,1.1,0
50,0.4,2699.6,977.2,16.6,7745.7,7.9,0.4,0.9,921.5,2241.8,0.7,0.1,0.1,222.9,183.3,0.3,0.2,0.6,9,0.1,0.1,14.6,0.4,0,0,0,22.2,0.9,0
51,0.4,2611.9,967.9,23.3,7692.6,31.2,0.6,1,976.1,2286.9,1,0.1,0.2,2262.2,494,1.1,0.3,1.2,9.1,0.1,0.1,15.3,0.1,0,0,0,37.2,1.2,0
52,0.4,2599.4,960.3,14,7662.5,9.1,0.3,1,964.3,2295.9,0.6,0,0.1,1858.6,501.9,1.2,0.2,0.4,4.6,0.1,0,15.2,0.3,0,0,-0.1,27.9,0.9,0
53,0.4,2585.5,974.9,21.7,7942.4,32.5,0.3,1,1000.7,2373,0.9,0.1,0.2,5292.3,710.2,1.8,0.3,1.3,5.1,0.1,0,15.9,0.1,0,0,-0.1,33.8,1.2,0
54,0.4,2629,991.1,31.1,7976.5,23.7,0.4,1.2,1069.1,2426.1,0.7,0.1,0.2,5023.6,711.7,1.8,0.3,0.5,35.1,0.1,0,16,0.2,0,0,-0.1,33.3,1.2,0
55,0.4,2599.6,983.7,31.2,7926.8,44.5,0,1,1021.3,2435.2,1.8,0.2,0.2,7420,800.2,2,0.3,1.7,11.9,0.2,0,16.6,0.2,0,0,-0.1,39.4,1.2,0
56,0.4,2564.8,980.1,17,7895.2,16.5,0,1,998.5,2424.9,0.7,0.1,0.1,7071.7,822.3,2,0.2,0.4,5,0.1,-0.1,16.6,0.4,0,0,-0.1,38.8,1.1,0
57,0.5,2956.9,969.6,62.7,8961.2,44.1,0.3,0.9,1075.2,2107.3,-0.7,0.4,0.2,599.3,34,0.2,0.2,1.1,5.4,0.1,0,13.6,0,0,0,-0.2,11.8,1.1,0
58,0.4,2925.1,890.5,35.4,8850.2,11.2,-0.1,2.6,2944.7,1872.8,1,0.4,0.1,415.4,13.5,0.2,0.1,1,4.4,0.1,0.2,12.4,0.9,0,0,-0.2,9.1,1,0
59,0.5,2907.8,976.2,97.8,8941.5,40.3,0.2,0.9,1021.5,2123.6,2.2,0.4,0.2,716.6,56.3,0.3,0.2,1.1,5.9,0.1,0.1,13.8,0.1,0,0,0.2,13.2,1.2,0
60,0.5,2939.3,932.5,38.8,8924.6,11.7,0,0.9,937.3,1977.3,1.1,0.3,0.1,464.4,24,0.2,0.1,0.8,4.9,0.1,0.2,13.2,0.3,0,0,0,10.3,1,0
61,0.4,2778.8,983.1,28.2,8082.5,19.7,0.6,0.9,868,2213,0.9,0.1,0.1,451.8,40.5,0.1,0.1,0.9,4.8,0.1,0.1,14.7,0,0,0,-0.1,19.4,1,0
